LIVRO	ANO	TITULO_POEMA	POEMA	QNT_VERSOS	TAM_POEMA
AMAVISSE	1989	III	De uma fome de afagos, tigres baços Vêm se juntar a mim na noite oca. E eu mesma estilhaçada, prenhe de solidões Tento voltar à luz que me foi dada E sobreponho as mãos nas veludosas patas. De uma fome de sonhos Tento voltar àquelas geografias De um Fazedor de versos e sua estada. Memorizo este ser que me sou E sobre os fulcros dentes, ali É que passeio e deslizo a minha fome. Então se aquietam de pura madrugada Meus tigres de ferrugem. As garras recolhidas Como se mesmo amorte os excluísse. 	14	507
AMAVISSE	1989	IV	Se chegarem as gentes, diga que vivo o meu avesso. Que há um vivaz escarlate Sobre o peito de antes palidez, e linhos faiscantes Sobre as magras ancas, e inquietantes cardumes Sobre os pés. Que a boca não se vê, nem se ouve a palavra Mas há fonemas sílabas sufixos diagramas Contornando o meu quarto de fundo sem começo. Que a mulher parecia adequada numa noite de antes E amanheceu como se vivesse sob as águas. Crispada. Flutissonante. Diga-lhes principalmente Que há um oco fulgente num todo escancarado. E um negrume de traço nas paredes de cal Onde a mulher-avesso se meteu. Que ela não está neste domingo à tarde, apropiada. E que tomou algália E gritou às galinhas que falou com Deus. 	17	707
AMAVISSE	1989	V	As maçãs ao relento. Duas. E o viscoso Do Tempo sobre a boca e a hora. As maçãs Deixa-as para quem devora esta agonia crua: Meu instante de penumbra salivosa. As maçãs comi-as como quem namora. Tocando Longamente a pele nua. Depois mordi a carne De maçãs e sonhos: sua alvura porosa. E deitei-me como quem sabe o Tempo e o vermelho: Brevidade de um passo no passeio. 	9	375
AMAVISSE	1989	VI	Que as barcaças do Tempo me devolvam A primitiva urna de palavras. Que me devolvam a ti e o teu rosto Como desde sempre o conheci: pungente Mas cintilando de vida, renovado Como se o sol e o rosto caminhassem Porque vinha de um a luz do outro. Que me devolvam a noite, o espaço De me sentir tão vasta e pertencida Como se as águas e madeiras de todas as barcaças Se fizessem matéria rediviva, adolescência e mito. Que eu te devolva a fome do meu primeiro grito. 	12	469
AMAVISSE	1989	VII	Aquele fino traço de colina Quero trancar na cancela Da alma. Alimento e medida Para as muitas vidas do depois. Curva de um devaneio inantigido Um todo estendido adolescente Aquele fino traço da colina Há de viver na paisagem da mente Como a distância habita em certos pássaros Como o poeta habita nas ardências. 	10	319
AMAVISSE	1989	VIII	Guardo-vos manhãs de terracota e azul Quando o meu peito tingido de vermelho Vivia a dissolvência da paixão. O capim calcinado das queimadas Tinha o cheiro da vida, e os atalhos Estreitos tinham tudo a ver com o desmedido E as águas do universo se faziam parcas Para afogar meu verso. Guardo-vos, iluminadas Recedentes manhãs tão irreais no hoje Como fazer nascer girassóis no topázio E dos rubis, romãs. 	11	414
AMAVISSE	1989	IX	Amor chagado, de púrpura, de desejo Pontilhado. Volto à seiva de cordas Da guitarra, e recheio de sons o teu jazigo. Volto empoeirada de vestígios, arvoredo de ouro Do que fomos, gotas de sal na planície do olvido Para recender a tua fome. Amor de sombras de ocasos e de ovelhas. Volto como quem soma a vida inteira A todos os outonos. Volto novíssima, incoerente Cógnita Como quem vê e escuta o cerne da semente E da altura de dentro já lhe sabe o nome. E reverdeço No rosa de umas tangerinas E nos azuis de todos os começos. 	15	537
AMAVISSE	1989	X	Há um incêndio de angústia e de sons Sobre os instentos. E no corpo da tarde Se fez uma ferida. A mulher emergiu Descompassada no de dentro da outra: Uma mulher de mim nos incêndios do Nada. Tinha o dorso de uns rios: quebradiço E terroso. O peito carregado de ametistas. Uma mulher me viu no roxo das ciladas: Esculpindo de novo teu rosto no vazio. 	9	355
AMAVISSE	1989	XI	Os ponteiros de anil no esguio das águas. Tua sombra azulada repensando os rios E agudíssimas horas atravessando o leito Das barcaças. Tem sido noite extrema. Finos fios Sulcando de sangue as esperanças. Os ponteiros de anil. Nossas duas vidas Devastadas, num lago de janeiros. 	8	282
AMAVISSE	1989	XII	Se tivesse madeira e ilusões Faria um barco e pensaria o arco-íris. Se te pensasse, amigo, a Terra toda Seria de saliva e de chegança. Te moldaria numa carne de antes Sem nome ou Paraíso. Se me pensasses, Vida, que matéria Que cores para minha possível sobrevida? 	8	270
AMAVISSE	1989	XIII	Extrema, toco-te o rosto. De ti me vem À ponta dos meus dedos o ouro da volúpia E o encantado glabro das avencas. De ti me vem A noite tingida de matizes, flutuante De mitos e de águas. Inaudita. Extrema, toco-te a boca como quem precisa Sustentar o fogo para a própria vida. E úmido de cio, de inocência, É à saudade de mim que me condenas. Extrema, inomeada, toco-me a mim. Antes, tão memória. E tão jovem agora. 	11	426
AMAVISSE	1989	XIV	um fado para guitarra Outeiros, átrios, pombas e vindimas. Em algum tempo Vivi a eternidade dessas rimas. Pastora, entre os animais é que cresci. E lhes pensava O pêlo e a formosura. Senhora, tive a casa Daqueles da minha raça. Agrandados vestíbulos E aves e pomares, e por fidelidade pereci. De humildes aldeias e de casas grnades Translitei entre as vidas. Depois amei Extremante e soturna. A quem me amava matei. Porisso nesta vida temo o amor e facas. Porisso nesta vida Canto canções assim tão compassivas Na língua esquecida. 	15	541
AMAVISSE	1989	XV	Paliçadas e juncos E agudos gritos de um pássaro nos alagadiços. Tem sido este o tempo de prenúncios. Tecida de carmim no traçado das horas A vida se refaz: Um risco de sorriso nos olhos luminosos Um ter visto O traçado do extenso no inatingível Paraíso. e de novo, no instante Paliçadas e juncos. E agudos gritos de um pássaro nos alagadiços. 	11	355
AMAVISSE	1989	XVI	Devo viver entre os homens Se sou mais pêlo, mais dor Menos garra e menos carne humana? e não tendo armadura E tendo quase muito de cordeiro E quase nada de mão que empunha a faca Devo continuar a caminhada? Devo continuar a te dizer palavras Se a poesia apodrece Entre as ruínas da Casa que é a tua alma? Ai, Luz que permanece no meu corpo e cara: Como foi que desaprendi de ser humana? 	12	393
AMAVISSE	1989	XVII	As barcas afundadas. Cintilantes Sob o rio. E é assim o poema. Cintilante E obscura barca ardendo sob as águas. Palavras eu as fiz nascer Dentro da tua garganta. Úmidas algumas, de transparente raiz: Um molhado de línguas e de dentes. Outras de geometria. Finas, angulosas Como são as tuas Quando falam de poetas, de poesia. As barcas afundadas. Minhas palavras. Mas poderão arder luas de eternidade. E doutas, de ironia as tuas Só através da minha vida vão viver. 	14	474
AMAVISSE	1989	XVIII	Será que apreendo a morte Perdendo-me a cada dia No patamar sem fim do sentimento? Ou quem sabe apreendo a vida Escurecendo anárquica na tarde Ou se pudesse Tomar para o meu peito a vastidão O caminho dos ventos O descomedimento da cntiga. Será que apreendo a sorte Entrelaçando a cinza do morrer Ao sêmen da tua vida? 	12	325
AMAVISSE	1989	XIX	Empoçada de instantes, cresce a noite Descosendo as falas. Um poema entre-muros Quer nascer, de carne jubilosa E longo corpo escuro. Pergunro-me Se a perfeição não seria o não dizer E deixar aquietadas as palavras Nos noturnos desvãos. Um poema pulsante Ainda que imperfeito quer nascer. Estando sobre a mesa o grande corpo Envolto na sua bruma. Expiro amor e ar Sobre as suas ventas. Nasce intensa E luzente a minha cria No azulecer da tinta e à luz do dia. 	13	466
AMAVISSE	1989	XX	De grossos muros, de folhas machucadas É que caminham as gentes pelas ruas. De dolorido sumo e de duras frentes É que são feitas as caras. Ai, Tempo Entardecido de sons que não compreendo Olhares que se fazem bofetadas, passos Cavados, fundos, vindos de um alto poço De um sinistro Nada. E bocas tortuosas Sem palavras. E o que há de ser da minha boca de inventos Neste entandercer. E o do ouro que sai Da garganta dos loucos, o que há de ser? 	12	451
VIA ESPESSA	1989	I	De cigarras e pedras, querem nascer palavras. Mas o poeta mora A sós num corredor de luas, uma casa de águas. De mapas-múndi, de atalhos, querem nascer viagens. Mas o poeta habita O campo de estalagens de loucura. Da carne de mulheres, querem nascer os homens. E o poeta preexiste, entre a luz e o sem-nome. 	8	311
VIA ESPESSA	1989	II	Se te pertenço, separo-me de mim. Perco meu passo nos caminhos de terra E de Dionísio sigo a carne, a ebriedade. Se te pertenço perco a luz e o nome E a nitidez do olhar de todos os começos: O que me parecia um desenho no eterno Se te pertenço é um acorde ilusório no silêncio. E por isso, por perder o mundo Separo-me de mim. Pelo Absurdo. 	9	349
VIA ESPESSA	1989	III	Olhando o meu passeio Há um louco sobre o muro Balançando os pés. Mostra-me o peito estufado de pêlos E tem entre entre as coxas um lixo de papéis: - Procura Deus, senhora? Procura Deus? E simétrico de zelos, balouçante Dobra-te num salto desnuda o traseiro. 	8	266
VIA ESPESSA	1989	IV	O louco estendeu-se sobre a ponte E atravessou o instante. Estendi-me ao lado da loucura Porque quis ouvir o vermelho do bronze E passar a língua sobre a tintura espessa De um açoite. Um louco permitiu que eu juntasse a sua luz À minha dura noite. 	8	251
VIA ESPESSA	1989	V	O louco (a minha sombra) escancarou a boca: _ O que restou de nós decifrado nos sonhos Os arrozais, teu nome, tardes, juncos Tuas ruas que no meu caminho percorri Ai, sim, me lembro de um sentir de adornos Mas há uma luz sem nome que me queima E das coisas criadas me esqueci. 	7	279
VIA ESPESSA	1989	VI	O louco saltimbanco Atravessa a estrada de terra Da minha rua, e grita à minha porta: - Ó senhora Samsara, ó senhora Pergunto-lhe por que me faz a mim tão perseguida Se essa de nome esdrúxulo aqui não mora. - Pois aquilo que caminha em círculos É Samsara, senhora E recheado de risos, murmura uns indizíveis Colado ao meu ouvido. 	8	339
VIA ESPESSA	1989	VII	Devo voltar à luz que me pensou De poeira e começos? Devo voltar ao barro e às mãos de vidro Que fragilizadas me pensaram? Devo pensar o louco (a minha sombra) À luz das emboscadas? Ai girassóis sobre a mesa de águas. - Estetizante - disse-me o louco Grudado à minha poética omoplata. - Os girassóis? Ah, Samsara, teu esquecido sol. Uma mesa de águas? Que volúpia, que máscara E que ambíguo deleite Para a voracidade de tua alma. 	13	444
VIA ESPESSA	1989	VIII	Eram águas castanhas as que eu via. Caras de palha e cprda nas barcaças brancas. Velas de linhos novos, luzidios Mas resíduos. Sobras. Colou-se minha sombra às minhas costas: - Que bagagem, senhora. O Nada navegando à tua porta. 	7	234
VIA ESPESSA	1989	IX	O louco se fechou ao riso Se torceu convulso de fingida agonia E como se lançasse flores à cova de um morto Atirou-me os guizos. Por quê? perguntei adusta e ressentida. - Ó senhora, porque mora na morte Aquele que procura Deus na austeridade. 	7	247
VIA ESPESSA	1989	X	- É o olho copioso de Deus. É o olho cego De quem quer ver. Vês? De tão aberto Queimado de amarelo Assim me disse o louco (esguio e loiro) Olhando o girassol que nasceu no meu teto. 	4	186
VIA ESPESSA	1989	XI	De canoas verdes de amargas oliveiras De rios pastosos de cascalho e poeira De tudo isso meu cantochão e ervas negras. Grita-me o louco: - De amoras. De tintas rubras do instante É que se tinge a vida. De embriaguez, Samsara. E atravessou no riso a tarde fulva. 	7	264
VIA ESPESSA	1989	XII	Temendo desde agosto o fogo e o vento Caminho junto às cercas, cuidadosa Na tarde de queimadas, tarde cega. Há um velho mourão enegrecido de queimadas antigas. E ali reencontro o louco: - Temendo os teus limites, Samsara esvaecida? Por que não deixas o fogo onividente Lamber o corpo e a escrita? E por que não arder Casando o Onisciente à tua vida? 	9	356
VIA ESPESSA	1989	XIII	- Querer voar, Samsara? Queres trocar o moroso das pernas Pela magia das penas. e planar coruscante Acima da demência? Porque te vejo às tardes desejosa De ser uma das aves retardatárias do pomar. Aquela ali talvez, rumo ao poente. Pois pode ser, lhe disse. Santos e lobos Devem ter tido o meu mesmo pensar. Olhos no céu Orando, uivando aos corvos. Então aproximou-se rente ao meu pescoço: - Esquece texto e sabença: as cadeias do gozo. E labaredas do intenso te farão o vôo. 	11	485
VIA ESPESSA	1989	XIV	Telhas, calhas Cordas de luz que se fizeram palavra Alguém sonha a carne da minha alma. Ecos, poço O esquecimento perseguindo um corpo Aqui me tens entre a vigília e o encanto Cativa da loucura Perseguindo o louco. 	8	218
VIA ESPESSA	1989	XV	Eram azuis as paredes do prostíbulo Ela estendeu-se nua entre os arcos da sala E matou-se devassada de ternura. “Que azul insuportável”, antes gritou. “Como se adulta um berço me habitasse” Foi esta a canção de Natal cantada pelo louco Quando me deu a Hilde: a porca que levava sobre o dorso. 	7	306
VIA ESPESSA	1989	XVI	- Não percebes, Samsara, que Aquele que se esconde E que tu sonhas homem, quer ouvir teu grito? Que há uma luz que nasce da blasfêmia E amortece na pena? Que é o cinza a cor do teu queixume E o grito tem a cor do sangue Daquele que se esconde? Vive o carmim, Samsara. A ferida. E terás um vestígio do Homem na tua estrada. 	7	329
VIA ESPESSA	1989	XVII	Minha sombra à minha frente desdobrada Sombra de sua própria sombra? Sim. Em sonhos via. Prateado de guizos O louco sussurava um refrão erudito: - Ipseidade, Samsara. Ipseidade, senhora. E enfeixando energia, cintilando Fez de nós dois um único indivíduo. 	6	262
VIA VAZIA	1989	I	Eu sou Medo. Estertor. Tu, meu Deus, uma cavalo de ferro Colado à futilidade das alturas. 	3	91
VIA VAZIA	1989	II	Movo-me no charco. Entre o junco e o lagarto. E Tu, como Petrarca, deves cantar tua Laura: “Le Stelle, il cielo, caldi sospiri” E nem há lua esta noite. Nascidas deste canto Das palavras, só há borbulhas n’água. 	5	222
VIA VAZIA	1989	III	Rato d’água, círculo no remoinho da busca. Que sou teu filho, Pai, me dizem. Farejo. Com a focinhez que me foi dada encontro alguns dejetos. Depois, estendido Na pedra (que dizem ser teu peito) , busco um sinal. E de novo farejo. Há quanto tempo. Há quanto tempo. 	6	270
VIA VAZIA	1989	IV	À carnem aos pêlos, à garganta, à língua A tudo isso te assemelhas? Mas e o depois da morte, Pai? As centelhas que nascem da carne sob a terra O estar ali cintilando de treva. À treva te assemelhas? 	6	205
