"ano","categoria","atribuicao","comentario","venceu"
"1969 (42nd)","Cinematography","Anne of the Thousand Days","Arthur Ibbetson","NO"
"1969 (42nd)","Cinematography","Bob & Carol & Ted & Alice","Charles B. Lang","NO"
"1969 (42nd)","Cinematography","Butch Cassidy and the Sundance Kid","Conrad Hall","YES"
"1969 (42nd)","Cinematography","Hello, Dolly!","Harry Stradling","NO"
"1969 (42nd)","Cinematography","Marooned","Daniel Fapp","NO"
"1969 (42nd)","Directing","Alice's Restaurant","Arthur Penn","NO"
"1969 (42nd)","Directing","Butch Cassidy and the Sundance Kid","George Roy Hill","NO"
"1969 (42nd)","Directing","Midnight Cowboy","John Schlesinger","YES"
"1969 (42nd)","Directing","They Shoot Horses, Don't They?","Sydney Pollack","NO"
"1969 (42nd)","Directing","Z","Costa-Gavras","NO"
"1969 (42nd)","Foreign Language Film","Ådalen '31","Sweden","NO"
"1969 (42nd)","Foreign Language Film","The Battle of Neretva","Yugoslavia","NO"
"1969 (42nd)","Foreign Language Film","The Brothers Karamazov","Union of Soviet Socialist Republics","NO"
"1969 (42nd)","Foreign Language Film","My Night at Maud's","France","NO"
"1969 (42nd)","Foreign Language Film","Z","Algeria","YES"
"1969 (42nd)","Music (Scoring)","Anne of the Thousand Days","Georges Delerue","NO"
"1969 (42nd)","Music (Scoring)","Butch Cassidy and the Sundance Kid","Burt Bacharach","YES"
"1969 (42nd)","Music (Scoring)","The Reivers","John Williams","NO"
"1969 (42nd)","Music (Scoring)","The Secret of Santa Vittoria","Ernest Gold","NO"
"1969 (42nd)","Music (Scoring)","The Wild Bunch","Jerry Fielding","NO"
"1969 (42nd)","Music (Scoring)","Goodbye, Mr. Chips","Music and lyrics by Leslie Bricusse; adaptation score by John Williams","NO"
"1969 (42nd)","Music (Scoring)","Hello, Dolly!","Adaptation score by Lennie Hayton and Lionel Newman","YES"
"1969 (42nd)","Music (Scoring)","Paint Your Wagon","Adaptation score by Nelson Riddle","NO"
"1969 (42nd)","Music (Scoring)","Sweet Charity","Adaptation score by Cy Coleman","NO"
"1969 (42nd)","Music (Scoring)","They Shoot Horses, Don't They?","Adaptation score by John Green and Albert Woodbury","NO"
"1969 (42nd)","Music (Song)","The Sterile Cuckoo","Music by Fred Karlin; Lyrics by Dory Previn","NO"
"1969 (42nd)","Music (Song)","The Prime of Miss Jean Brodie","Music and Lyrics by Rod McKuen","NO"
"1969 (42nd)","Music (Song)","Butch Cassidy and the Sundance Kid","Music by Burt Bacharach; Lyrics by Hal David","YES"
"1969 (42nd)","Music (Song)","True Grit","Music by Elmer Bernstein; Lyrics by Don Black","NO"
"1969 (42nd)","Music (Song)","The Happy Ending","Music by Michel Legrand; Lyrics by Alan Bergman and Marilyn Bergman","NO"
"1969 (42nd)","Best Picture","Anne of the Thousand Days","Hal B. Wallis, Producer","NO"
"1969 (42nd)","Best Picture","Butch Cassidy and the Sundance Kid","John Foreman, Producer","NO"
"1969 (42nd)","Best Picture","Hello, Dolly!","Ernest Lehman, Producer","NO"
"1969 (42nd)","Best Picture","Midnight Cowboy","Jerome Hellman, Producer","YES"
"1969 (42nd)","Best Picture","Z","Jacques Perrin and Hamed Rachedi, Producers","NO"
"1969 (42nd)","Honorary Award","Cary Grant","","YES"
"1968 (41st)","Actor -- Leading Role","Alan Arkin","The Heart Is a Lonely Hunter {'Singer'}","NO"
"1968 (41st)","Actor -- Leading Role","Alan Bates","The Fixer {'Yakov Bok'}","NO"
"1968 (41st)","Actor -- Leading Role","Ron Moody","Oliver! {'Fagin'}","NO"
"1968 (41st)","Actor -- Leading Role","Peter O'Toole","The Lion in Winter {'King Henry II'}","NO"
"1968 (41st)","Actor -- Leading Role","Cliff Robertson","Charly {'Charly Gordon'}","YES"
"1968 (41st)","Actor -- Supporting Role","Jack Albertson","The Subject Was Roses {'John Cleary'}","YES"
"1968 (41st)","Actor -- Supporting Role","Seymour Cassel","Faces {'Chet'}","NO"
"1968 (41st)","Actor -- Supporting Role","Daniel Massey","Star! {'Noel Coward'}","NO"
"1968 (41st)","Actor -- Supporting Role","Jack Wild","Oliver! {'The Artful Dodger'}","NO"
"1968 (41st)","Actor -- Supporting Role","Gene Wilder","The Producers {'Leo Bloom'}","NO"
"1968 (41st)","Actress -- Leading Role","Katharine Hepburn","The Lion in Winter {'Queen Eleanor of Aquitaine'}","YES"
"1968 (41st)","Actress -- Leading Role","Patricia Neal","The Subject Was Roses {'Nettie Cleary'}","NO"
"1968 (41st)","Actress -- Leading Role","Vanessa Redgrave","Isadora {'Isadora Duncan'}","NO"
"1968 (41st)","Actress -- Leading Role","Barbra Streisand","Funny Girl {'Fanny Brice'}","YES"
"1968 (41st)","Actress -- Leading Role","Joanne Woodward","Rachel, Rachel {'Rachel Cameron'}","NO"
"1968 (41st)","Actress -- Supporting Role","Lynn Carlin","Faces {'Maria Forst'}","NO"
"1968 (41st)","Actress -- Supporting Role","Ruth Gordon","Rosemary's Baby {'Minnie Castevet'}","YES"
"1968 (41st)","Actress -- Supporting Role","Sondra Locke","The Heart Is a Lonely Hunter {'Mick Kelly'}","NO"
"1968 (41st)","Actress -- Supporting Role","Kay Medford","Funny Girl {'Rose Brice'}","NO"
"1968 (41st)","Actress -- Supporting Role","Estelle Parsons","Rachel, Rachel {'Calla Mackie'}","NO"
"1968 (41st)","Cinematography","Funny Girl","Harry Stradling","NO"
"1968 (41st)","Cinematography","Ice Station Zebra","Daniel L. Fapp","NO"
"1968 (41st)","Cinematography","Oliver!","Oswald Morris","NO"
"1968 (41st)","Cinematography","Romeo and Juliet","Pasqualino De Santis","YES"
"1968 (41st)","Cinematography","Star!","Ernest Laszlo","NO"
"1968 (41st)","Directing","The Battle of Algiers","Gillo Pontecorvo","NO"
"1968 (41st)","Directing","The Lion in Winter","Anthony Harvey","NO"
"1968 (41st)","Directing","Oliver!","Carol Reed","YES"
"1968 (41st)","Directing","Romeo and Juliet","Franco Zeffirelli","NO"
"1968 (41st)","Directing","2001: A Space Odyssey","Stanley Kubrick","NO"
"1968 (41st)","Foreign Language Film","The Boys of Paul Street","Hungary","NO"
"1968 (41st)","Foreign Language Film","The Firemen's Ball","Czechoslovakia","NO"
"1968 (41st)","Foreign Language Film","The Girl with the Pistol","Italy","NO"
"1968 (41st)","Foreign Language Film","Stolen Kisses","France","NO"
"1968 (41st)","Foreign Language Film","War and Peace","Union of Soviet Socialist Republics","YES"
"1968 (41st)","Music (Scoring)","The Fox","Lalo Schifrin","NO"
"1968 (41st)","Music (Scoring)","The Lion in Winter","John Barry","YES"
"1968 (41st)","Music (Scoring)","Planet of the Apes","Jerry Goldsmith","NO"
"1968 (41st)","Music (Scoring)","The Shoes of the Fisherman","Alex North","NO"
"1968 (41st)","Music (Scoring)","The Thomas Crown Affair","Michel Legrand","NO"
"1968 (41st)","Music (Scoring)","Finian's Rainbow","Adaptation score by Ray Heindorf","NO"
"1968 (41st)","Music (Scoring)","Funny Girl","Adaptation score by Walter Scharf","NO"
"1968 (41st)","Music (Scoring)","Oliver!","Adaptation score by John Green","YES"
"1968 (41st)","Music (Scoring)","Star!","Adaptation score by Lennie Hayton","NO"
"1968 (41st)","Music (Scoring)","The Young Girls of Rochefort","Music and adaptation score by Michel Legrand; lyrics by Jacques Demy","NO"
"1968 (41st)","Music (Song)","Chitty Chitty Bang Bang","Music and Lyrics by Richard M. Sherman and Robert B. Sherman","NO"
"1968 (41st)","Music (Song)","For Love of Ivy","Music by Quincy Jones; Lyrics by Bob Russell","NO"
"1968 (41st)","Music (Song)","Funny Girl","Music by Jule Styne; Lyrics by Bob Merrill","NO"
"1968 (41st)","Music (Song)","Star!","Music by Jimmy Van Heusen; Lyrics by Sammy Cahn","NO"
"1968 (41st)","Music (Song)","The Thomas Crown Affair","Music by Michel Legrand; Lyrics by Alan Bergman and Marilyn Bergman","YES"
"1968 (41st)","Best Picture","Funny Girl","Ray Stark, Producer","NO"
"1968 (41st)","Best Picture","The Lion in Winter","Martin Poll, Producer","NO"
"1968 (41st)","Best Picture","Oliver!","John Woolf, Producer","YES"
"1968 (41st)","Best Picture","Rachel, Rachel","Paul Newman, Producer","NO"
"1968 (41st)","Best Picture","Romeo and Juliet","Anthony Havelock-Allan and John Brabourne, Producers","NO"
"1968 (41st)","Honorary Award","John Chambers","","YES"
"1968 (41st)","Honorary Award","Onna White","","YES"
"1967 (40th)","Actor -- Leading Role","Warren Beatty","Bonnie and Clyde {'Clyde Barrow'}","NO"
"1967 (40th)","Actor -- Leading Role","Dustin Hoffman","The Graduate {'Ben Braddock'}","NO"
"1967 (40th)","Actor -- Leading Role","Paul Newman","Cool Hand Luke {'Luke Jackson'}","NO"
"1967 (40th)","Actor -- Leading Role","Rod Steiger","In the Heat of the Night {'Police Chief Bill Gillespie'}","YES"
"1967 (40th)","Actor -- Leading Role","Spencer Tracy","Guess Who's Coming to Dinner {'Matt Drayton'}","NO"
"1967 (40th)","Actor -- Supporting Role","John Cassavetes","The Dirty Dozen {'Victor Franko'}","NO"
"1967 (40th)","Actor -- Supporting Role","Gene Hackman","Bonnie and Clyde {'Buck Barrow'}","NO"
"1967 (40th)","Actor -- Supporting Role","Cecil Kellaway","Guess Who's Coming to Dinner {'Monsignor Ryan'}","NO"
"1967 (40th)","Actor -- Supporting Role","George Kennedy","Cool Hand Luke {'Dragline'}","YES"
"1967 (40th)","Actor -- Supporting Role","Michael J. Pollard","Bonnie and Clyde {'C.W. Moss'}","NO"
"1967 (40th)","Actress -- Leading Role","Anne Bancroft","The Graduate {'Mrs. Robinson'}","NO"
"1967 (40th)","Actress -- Leading Role","Faye Dunaway","Bonnie and Clyde {'Bonnie Parker'}","NO"
"1967 (40th)","Actress -- Leading Role","Dame Edith Evans","The Whisperers {'Mrs. Ross'}","NO"
"1967 (40th)","Actress -- Leading Role","Audrey Hepburn","Wait until Dark {'Susy Hendrix'}","NO"
"1967 (40th)","Actress -- Leading Role","Katharine Hepburn","Guess Who's Coming to Dinner {'Christina Drayton'}","YES"
"1967 (40th)","Actress -- Supporting Role","Carol Channing","Thoroughly Modern Millie {'Muzzy Van Hossmere'}","NO"
"1967 (40th)","Actress -- Supporting Role","Mildred Natwick","Barefoot in the Park {'Mrs. Ethel Banks'}","NO"
"1967 (40th)","Actress -- Supporting Role","Estelle Parsons","Bonnie and Clyde {'Blanche Barrow'}","YES"
"1967 (40th)","Actress -- Supporting Role","Beah Richards","Guess Who's Coming to Dinner {'Mrs. Prentice'}","NO"
"1967 (40th)","Actress -- Supporting Role","Katharine Ross","The Graduate {'Elaine Robinson'}","NO"
"1967 (40th)","Cinematography","Bonnie and Clyde","Burnett Guffey","YES"
"1967 (40th)","Cinematography","Camelot","Richard H. Kline","NO"
"1967 (40th)","Cinematography","Doctor Dolittle","Robert Surtees","NO"
"1967 (40th)","Cinematography","The Graduate","Robert Surtees","NO"
"1967 (40th)","Cinematography","In Cold Blood","Conrad Hall","NO"
"1967 (40th)","Directing","Bonnie and Clyde","Arthur Penn","NO"
"1967 (40th)","Directing","The Graduate","Mike Nichols","YES"
"1967 (40th)","Directing","Guess Who's Coming to Dinner","Stanley Kramer","NO"
"1967 (40th)","Directing","In Cold Blood","Richard Brooks","NO"
"1967 (40th)","Directing","In the Heat of the Night","Norman Jewison","NO"
"1967 (40th)","Foreign Language Film","Closely Watched Trains","Czechoslovakia","YES"
"1967 (40th)","Foreign Language Film","El Amor Brujo","Spain","NO"
"1967 (40th)","Foreign Language Film","I Even Met Happy Gypsies","Yugoslavia","NO"
"1967 (40th)","Foreign Language Film","Live for Life","France","NO"
"1967 (40th)","Foreign Language Film","Portrait of Chieko","Japan","NO"
"1967 (40th)","Music (Scoring)","Cool Hand Luke","Lalo Schifrin","NO"
"1967 (40th)","Music (Scoring)","Doctor Dolittle","Leslie Bricusse","NO"
"1967 (40th)","Music (Scoring)","Far from the Madding Crowd","Richard Rodney Bennett","NO"
"1967 (40th)","Music (Scoring)","In Cold Blood","Quincy Jones","NO"
"1967 (40th)","Music (Scoring)","Thoroughly Modern Millie","Elmer Bernstein","YES"
"1967 (40th)","Music (Scoring)","Camelot","Alfred Newman, Ken Darby","YES"
"1967 (40th)","Music (Scoring)","Doctor Dolittle","Lionel Newman, Alexander Courage","NO"
"1967 (40th)","Music (Scoring)","Guess Who's Coming to Dinner","DeVol","NO"
"1967 (40th)","Music (Scoring)","Thoroughly Modern Millie","Andre Previn, Joseph Gershenson","NO"
"1967 (40th)","Music (Scoring)","Valley of the Dolls","John Williams","NO"
"1967 (40th)","Music (Song)","The Jungle Book","Music and Lyrics by Terry Gilkyson","NO"
"1967 (40th)","Music (Song)","Banning","Music by Quincy Jones; Lyrics by Bob Russell","NO"
"1967 (40th)","Music (Song)","Casino Royale","Music by Burt Bacharach; Lyrics by Hal David","NO"
"1967 (40th)","Music (Song)","Doctor Dolittle","Music and Lyrics by Leslie Bricusse","YES"
"1967 (40th)","Music (Song)","Thoroughly Modern Millie","Music and Lyrics by James Van Heusen and Sammy Cahn","NO"
"1967 (40th)","Best Picture","Bonnie and Clyde","Warren Beatty, Producer","NO"
"1967 (40th)","Best Picture","Doctor Dolittle","Arthur P. Jacobs, Producer","NO"
"1967 (40th)","Best Picture","The Graduate","Lawrence Turman, Producer","NO"
"1967 (40th)","Best Picture","Guess Who's Coming to Dinner","Stanley Kramer, Producer","NO"
"1967 (40th)","Best Picture","In the Heat of the Night","Walter Mirisch, Producer","YES"
"1967 (40th)","Honorary Award","Arthur Freed","","YES"
"1966 (39th)","Actor -- Leading Role","Alan Arkin","The Russians Are Coming The Russians Are Coming {'Rozanov'}","NO"
"1966 (39th)","Actor -- Leading Role","Richard Burton","Who's Afraid of Virginia Woolf? {'George'}","NO"
"1966 (39th)","Actor -- Leading Role","Michael Caine","Alfie {'Alfie'}","NO"
"1966 (39th)","Actor -- Leading Role","Steve McQueen","The Sand Pebbles {'Jake Holman'}","NO"
"1966 (39th)","Actor -- Leading Role","Paul Scofield","A Man for All Seasons {'Sir Thomas More'}","YES"
"1966 (39th)","Actor -- Supporting Role","Mako","The Sand Pebbles {'Po-Han'}","NO"
"1966 (39th)","Actor -- Supporting Role","James Mason","Georgy Girl {'James Leamington'}","NO"
"1966 (39th)","Actor -- Supporting Role","Walter Matthau","The Fortune Cookie {'Willie Gingrich'}","YES"
"1966 (39th)","Actor -- Supporting Role","George Segal","Who's Afraid of Virginia Woolf? {'Nick'}","NO"
"1966 (39th)","Actor -- Supporting Role","Robert Shaw","A Man for All Seasons {'King Henry VIII'}","NO"
"1966 (39th)","Actress -- Leading Role","Anouk Aimee","A Man and a Woman {'Anne Gauthier'}","NO"
"1966 (39th)","Actress -- Leading Role","Ida Kaminska","The Shop on Main Street {'Rozalie Lautmanova'}","NO"
"1966 (39th)","Actress -- Leading Role","Lynn Redgrave","Georgy Girl {'Georgy Parkin'}","NO"
"1966 (39th)","Actress -- Leading Role","Vanessa Redgrave","Morgan! {'Leonie Delt'}","NO"
"1966 (39th)","Actress -- Leading Role","Elizabeth Taylor","Who's Afraid of Virginia Woolf? {'Martha'}","YES"
"1966 (39th)","Actress -- Supporting Role","Sandy Dennis","Who's Afraid of Virginia Woolf? {'Honey'}","YES"
"1966 (39th)","Actress -- Supporting Role","Wendy Hiller","A Man for All Seasons {'Alice More'}","NO"
"1966 (39th)","Actress -- Supporting Role","Jocelyne Lagarde","Hawaii {'Malama'}","NO"
"1966 (39th)","Actress -- Supporting Role","Vivien Merchant","Alfie {'Lily'}","NO"
"1966 (39th)","Actress -- Supporting Role","Geraldine Page","You're a Big Boy Now {'Margary Chanticleer'}","NO"
"1966 (39th)","Cinematography","The Fortune Cookie","Joseph LaShelle","NO"
"1966 (39th)","Cinematography","Georgy Girl","Ken Higgins","NO"
"1966 (39th)","Cinematography","Is Paris Burning?","Marcel Grignon","NO"
"1966 (39th)","Cinematography","Seconds","James Wong Howe","NO"
"1966 (39th)","Cinematography","Who's Afraid of Virginia Woolf?","Haskell Wexler","YES"
"1966 (39th)","Cinematography","Fantastic Voyage","Ernest Laszlo","NO"
"1966 (39th)","Cinematography","Hawaii","Russell Harlan","NO"
"1966 (39th)","Cinematography","A Man for All Seasons","Ted Moore","YES"
"1966 (39th)","Cinematography","The Professionals","Conrad Hall","NO"
"1966 (39th)","Cinematography","The Sand Pebbles","Joseph MacDonald","NO"
"1966 (39th)","Directing","Blow-Up","Michelangelo Antonioni","NO"
"1966 (39th)","Directing","A Man and a Woman","Claude Lelouch","NO"
"1966 (39th)","Directing","A Man for All Seasons","Fred Zinnemann","YES"
"1966 (39th)","Directing","The Professionals","Richard Brooks","NO"
"1966 (39th)","Directing","Who's Afraid of Virginia Woolf?","Mike Nichols","NO"
"1966 (39th)","Foreign Language Film","The Battle of Algiers","Italy","NO"
"1966 (39th)","Foreign Language Film","Loves of a Blonde","Czechoslovakia","NO"
"1966 (39th)","Foreign Language Film","A Man and a Woman","France","YES"
"1966 (39th)","Foreign Language Film","Pharaoh","Poland","NO"
"1966 (39th)","Foreign Language Film","Three","Yugoslavia","NO"
"1966 (39th)","Music (Scoring)","The Bible","Toshiro Mayuzumi","NO"
"1966 (39th)","Music (Scoring)","Born Free","John Barry","YES"
"1966 (39th)","Music (Scoring)","Hawaii","Elmer Bernstein","NO"
"1966 (39th)","Music (Scoring)","The Sand Pebbles","Jerry Goldsmith","NO"
"1966 (39th)","Music (Scoring)","Who's Afraid of Virginia Woolf?","Alex North","NO"
"1966 (39th)","Music (Scoring)","A Funny Thing Happened on the Way to the Forum","Ken Thorne","YES"
"1966 (39th)","Music (Scoring)","The Gospel According to St. Matthew","Luis Enrique Bacalov","NO"
"1966 (39th)","Music (Scoring)","Return of the Seven","Elmer Bernstein","NO"
"1966 (39th)","Music (Scoring)","The Singing Nun","Harry Sukman","NO"
"1966 (39th)","Music (Scoring)","Stop the World--I Want to Get Off","Al Ham","NO"
"1966 (39th)","Music (Song)","Alfie","Music by Burt Bacharach; Lyrics by Hal David","NO"
"1966 (39th)","Music (Song)","Born Free","Music by John Barry; Lyrics by Don Black","YES"
"1966 (39th)","Music (Song)","Georgy Girl","Music by Tom Springfield; Lyrics by Jim Dale","NO"
"1966 (39th)","Music (Song)","Hawaii","Music by Elmer Bernstein; Lyrics by Mack David","NO"
"1966 (39th)","Music (Song)","An American Dream","Music by Johnny Mandel; Lyrics by Paul Francis Webster","NO"
"1966 (39th)","Best Picture","Alfie","Lewis Gilbert, Producer","NO"
"1966 (39th)","Best Picture","A Man for All Seasons","Fred Zinnemann, Producer","YES"
"1966 (39th)","Best Picture","The Russians Are Coming The Russians Are Coming","Norman Jewison, Producer","NO"
"1966 (39th)","Best Picture","The Sand Pebbles","Robert Wise, Producer","NO"
"1966 (39th)","Best Picture","Who's Afraid of Virginia Woolf?","Ernest Lehman, Producer","NO"
"1966 (39th)","Honorary Award","Y. Frank Freeman","","YES"
"1966 (39th)","Honorary Award","Yakima Canutt","","YES"
"1965 (38th)","Actor -- Leading Role","Richard Burton","The Spy Who Came In from the Cold {'Alec Leamas'}","NO"
"1965 (38th)","Actor -- Leading Role","Lee Marvin","Cat Ballou {'Kid Shelleen/Tim Strawn'}","YES"
"1965 (38th)","Actor -- Leading Role","Laurence Olivier","Othello {'Othello'}","NO"
"1965 (38th)","Actor -- Leading Role","Rod Steiger","The Pawnbroker {'Sol Nazerman'}","NO"
"1965 (38th)","Actor -- Leading Role","Oskar Werner","Ship of Fools {'Dr. Schumann'}","NO"
"1965 (38th)","Actor -- Supporting Role","Martin Balsam","A Thousand Clowns {'Arnold Burns'}","YES"
"1965 (38th)","Actor -- Supporting Role","Ian Bannen","The Flight of the Phoenix {'Crow'}","NO"
"1965 (38th)","Actor -- Supporting Role","Tom Courtenay","Doctor Zhivago {'Pasha Antipov/Strelnikoff'}","NO"
"1965 (38th)","Actor -- Supporting Role","Michael Dunn","Ship of Fools {'Glocken'}","NO"
"1965 (38th)","Actor -- Supporting Role","Frank Finlay","Othello {'Iago'}","NO"
"1965 (38th)","Actress -- Leading Role","Julie Andrews","The Sound of Music {'Maria'}","NO"
"1965 (38th)","Actress -- Leading Role","Julie Christie","Darling {'Diana Scott'}","YES"
"1965 (38th)","Actress -- Leading Role","Samantha Eggar","The Collector {'Miranda Grey'}","NO"
"1965 (38th)","Actress -- Leading Role","Elizabeth Hartman","A Patch of Blue {'Selina D'Arcey'}","NO"
"1965 (38th)","Actress -- Leading Role","Simone Signoret","Ship of Fools {'La Condessa'}","NO"
"1965 (38th)","Actress -- Supporting Role","Ruth Gordon","Inside Daisy Clover {'The Dealer'}","NO"
"1965 (38th)","Actress -- Supporting Role","Joyce Redman","Othello {'Emilia'}","NO"
"1965 (38th)","Actress -- Supporting Role","Maggie Smith","Othello {'Desdemona'}","NO"
"1965 (38th)","Actress -- Supporting Role","Shelley Winters","A Patch of Blue {'Rose-Ann D'Arcey'}","YES"
"1965 (38th)","Actress -- Supporting Role","Peggy Wood","The Sound of Music {'Mother Abbess'}","NO"
"1965 (38th)","Cinematography","In Harm's Way","Loyal Griggs","NO"
"1965 (38th)","Cinematography","King Rat","Burnett Guffey","NO"
"1965 (38th)","Cinematography","Morituri","Conrad Hall","NO"
"1965 (38th)","Cinematography","A Patch of Blue","Robert Burks","NO"
"1965 (38th)","Cinematography","Ship of Fools","Ernest Laszlo","YES"
"1965 (38th)","Cinematography","The Agony and the Ecstasy","Leon Shamroy","NO"
"1965 (38th)","Cinematography","Doctor Zhivago","Freddie Young","YES"
"1965 (38th)","Cinematography","The Great Race","Russell Harlan","NO"
"1965 (38th)","Cinematography","The Greatest Story Ever Told","William C. Mellor, Loyal Griggs","NO"
"1965 (38th)","Cinematography","The Sound of Music","Ted McCord","NO"
"1965 (38th)","Directing","The Collector","William Wyler","NO"
"1965 (38th)","Directing","Darling","John Schlesinger","NO"
"1965 (38th)","Directing","Doctor Zhivago","David Lean","NO"
"1965 (38th)","Directing","The Sound of Music","Robert Wise","YES"
"1965 (38th)","Directing","Woman in the Dunes","Hiroshi Teshigahara","NO"
"1965 (38th)","Foreign Language Film","Blood on the Land","Greece","NO"
"1965 (38th)","Foreign Language Film","Dear John","Sweden","NO"
"1965 (38th)","Foreign Language Film","Kwaidan","Japan","NO"
"1965 (38th)","Foreign Language Film","Marriage Italian Style","Italy","NO"
"1965 (38th)","Foreign Language Film","The Shop on Main Street","Czechoslovakia","YES"
"1965 (38th)","Music (Scoring)","The Agony and the Ecstasy","Alex North","NO"
"1965 (38th)","Music (Scoring)","Doctor Zhivago","Maurice Jarre","YES"
"1965 (38th)","Music (Scoring)","The Greatest Story Ever Told","Alfred Newman","NO"
"1965 (38th)","Music (Scoring)","A Patch of Blue","Jerry Goldsmith","NO"
"1965 (38th)","Music (Scoring)","The Umbrellas of Cherbourg","Michel Legrand, Jacques Demy","NO"
"1965 (38th)","Music (Scoring)","Cat Ballou","DeVol","NO"
"1965 (38th)","Music (Scoring)","The Pleasure Seekers","Lionel Newman, Alexander Courage","NO"
"1965 (38th)","Music (Scoring)","The Sound of Music","Irwin Kostal","YES"
"1965 (38th)","Music (Scoring)","A Thousand Clowns","Don Walker","NO"
"1965 (38th)","Music (Scoring)","The Umbrellas of Cherbourg","Michel Legrand","NO"
"1965 (38th)","Music (Song)","Cat Ballou","Music by Jerry Livingston; Lyrics by Mack David","NO"
"1965 (38th)","Music (Song)","The Umbrellas of Cherbourg","Music by Michel Legrand; Lyrics by Jacques Demy; English Lyrics by Norman Gimbel","NO"
"1965 (38th)","Music (Song)","The Sandpiper","Music by Johnny Mandel; Lyrics by Paul Francis Webster","YES"
"1965 (38th)","Music (Song)","The Great Race","Music by Henry Mancini; Lyrics by Johnny Mercer","NO"
"1965 (38th)","Music (Song)","What's New Pussycat?","Music by Burt Bacharach; Lyrics by Hal David","NO"
"1965 (38th)","Best Picture","Darling","Joseph Janni, Producer","NO"
"1965 (38th)","Best Picture","Doctor Zhivago","Carlo Ponti, Producer","NO"
"1965 (38th)","Best Picture","Ship of Fools","Stanley Kramer, Producer","NO"
"1965 (38th)","Best Picture","The Sound of Music","Robert Wise, Producer","YES"
"1965 (38th)","Best Picture","A Thousand Clowns","Fred Coe, Producer","NO"
"1965 (38th)","Honorary Award","Bob Hope","","YES"
"1964 (37th)","Actor -- Leading Role","Richard Burton","Becket {'Thomas Becket'}","NO"
"1964 (37th)","Actor -- Leading Role","Rex Harrison","My Fair Lady {'Professor Henry Higgins'}","YES"
"1964 (37th)","Actor -- Leading Role","Peter O'Toole","Becket {'King Henry II'}","NO"
"1964 (37th)","Actor -- Leading Role","Anthony Quinn","Zorba the Greek {'Alexis Zorba'}","NO"
"1964 (37th)","Actor -- Leading Role","Peter Sellers","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb {'Group Captain Lionel Mandrake/President Muffley/Dr. Strangelove'}","NO"
"1964 (37th)","Actor -- Supporting Role","John Gielgud","Becket {'King Louis VII of France'}","NO"
"1964 (37th)","Actor -- Supporting Role","Stanley Holloway","My Fair Lady {'Alfred P. Doolittle'}","NO"
"1964 (37th)","Actor -- Supporting Role","Edmond O'Brien","Seven Days in May {'Senator Raymond Clark'}","NO"
"1964 (37th)","Actor -- Supporting Role","Lee Tracy","The Best Man {'Art Hockstader'}","NO"
"1964 (37th)","Actor -- Supporting Role","Peter Ustinov","Topkapi {'Arthur Simpson'}","YES"
"1964 (37th)","Actress -- Leading Role","Julie Andrews","Mary Poppins {'Mary Poppins'}","YES"
